Indoor,Outdoor,Day,Night,Date
Animation,X,,X,X,
Musical Instruments,X,X,X,X,X
Film Making,X,X,X,X,
Video Editing,X,,X,X,
YouTube Channel,X,X,X,X,
Painting,X,,,,X
Drawing,X,,X,X,X
Astrophotography,,X,,X,X
Writing,X,,X,X,
World building,X,,X,X,
Game building,X,,X,X,
Stand up,X,,X,X,
Electronics,X,,X,X,
Robotics,X,,X,X,
Dev - Mobile/Web/Games,X,,X,X,
Hacking,X,,X,X,
Cryptography,X,,X,X,
Machine learning,X,,X,X,
Simulations,X,,X,X,
Dance,X,,X,X,
Singing,X,,X,X,
Home Improvements,X,X,X,X,
Car Fixing,X,X,X,X,
Model Engineering,X,,X,X,
RC (Cars/Boats/Planes),X,,X,X,
Miniature Rail Roads,X,,,,
3D Printing,X,,X,X,
Blacksmithing,,X,X,,
Metal Working,X,X,X,,
Wood Working,X,X,X,,
Clothes Making,X,,X,X,X
Shoe Making,X,,X,X,X
Gardening,,X,X,,
Hydroponics,X,X,X,X,
Composting,,X,X,,
Outdoor Maze,,X,X,X,X
Archery,X,X,X,X,X
Axe Throwing,X,X,X,X,X
Urban Exploration,X,X,X,X,X
Traveling,,X,X,,X
Skating,,X,X,,X
Snowboarding,,X,X,,X
BMX,,X,X,,X
Ski,,X,X,,X
Scuba Diving,,X,X,,X
Kite Surfing,,X,X,,X
Kite Flying,,X,X,,X
Boating,,X,X,,X
Sailing,,X,X,,X
Canoeing,,X,X,,X
Kayaking,,X,X,,X
Hiking,,X,X,,X
Golfing,,X,X,,X
Billiards,X,,X,X,
Chess,X,,X,X,X
Basketball,X,X,X,X,
Fishing,,X,X,,X
Horse Riding,,X,X,,X
Prospecting,,X,X,,X
Orienteering,,X,X,,X
Survival Trip,,X,X,,
Hunting,,X,X,,
Fishing,,X,X,,X
Foraging,,X,X,,
Trapping,,X,X,,
Climbing,X,X,X,,X
Camping,,X,X,,X
Backpacking,,X,X,,X
SnowCamping,,X,X,,
SnowShoeing,,X,X,,
Mountaineering,,X,X,,
Lock Picking,X,X,X,X,
Knot Tying,X,X,X,X,
Geocaching,,X,X,,X
Beekeeping,,X,X,,X
Birdwatching,,X,X,,X
Skydiving,X,X,X,,X
